软件工程师,job_id,job_count,job_name,tier2
595,839,641,房地产项目管理,
596,1078,639,法务经理/主管,
597,390,637,半导体技术,
598,656,634,工程/机械绘图员,
599,1664,633,送水工,
600,396,631,印刷操作,
601,757,625,建筑工程安全管理,
602,539,623,大客户经理,
603,1746,622,销售培训师/讲师,
604,1677,622,道路/桥梁/隧道工程技术,
605,760,620,建筑工程测绘/测量,
606,1720,619,钳工/机修工/钣金工,
607,1787,618,音乐教师,
608,775,616,影视策划/制作人员,
609,609,616,客服其他,
610,587,614,客户主管,
611,1843,610,验光师,
612,166,610,体系工程师,
613,1704,606,金融/经济研究员,
614,406,603,厨师/面点师,
615,1454,602,美术编辑/美术设计,
616,222,602,信息技术经理/主管,
617,836,601,房地产项目招投标,
618,78,599,主播/主持人,
619,35,599,IT项目经理/主管,
620,1277,598,电焊工/铆焊工,
621,1144,597,牙科医生,
622,70,596,临床协调员,
623,735,596,广告客户经理,
624,928,595,数控操机,
625,1576,595,证券/投资客户经理,
626,1086,595,洗头工,
627,1158,593,物业维修员,
628,1760,592,销售运营经理/主管,
629,1420,591,网络推广经理/主管,
630,860,588,技术研发经理/主管,
631,919,587,教育培训其他,
632,278,585,内科医生,
633,205,584,保险客户服务/续期管理,
634,312,584,前厅部员工,
635,1414,583,网络与信息安全工程师,
636,856,583,技术支持/维护经理,
637,530,582,多媒体/游戏开发工程师,
638,1547,581,视觉设计,
639,1616,581,质量管理/测试主管,
640,1689,580,酒店前台,
641,228,579,信贷管理/资信评估/分析,
642,365,578,医疗器械研发,
643,1060,577,汽车设计工程师,
644,896,575,排版设计/制作,
645,1054,569,汽车电子工程师,
646,210,569,保险理赔,
647,752,569,建筑其他,
648,1636,567,超市/零售其他,
649,1796,567,项目执行/协调人员,
650,379,565,医药技术研发管理人员,
651,557,565,媒介专员/助理,
652,917,564,教育产品开发,
653,1657,563,运动健身其他,
654,1504,561,营养师,
655,1797,560,项目招投标,
656,979,559,服装打样/制版,
657,571,559,安全管理/安全员,
658,1848,553,高级客户经理/客户经理,
659,613,552,客运司机,
660,1005,550,染工,
